Timestamp,How long have you lived in Somerville?,Do you rent or own your place of residence?,"If you own, what type of home do you own?","If a Condo, how many units are in your building?",Are you interested in reducing your energy use?,Have you had an energy audit done in your home?,Please select any measures you have taken to reduce your energy usage.,Would you be interested in a program offered through the City where Somerville residents can receive information on solar for their homes and reduced pricing for solar? ,"If you own a business or commercial building, are you interested in a commercial solar program offered through the City of Somerville?",Are you interested in installing solar PV on your house?,"If you’ve been thinking about installing solar panels, what has held you back?","If you were to install solar PV on your home or business, is your preference to:",Would you like to volunteer on a residential solar outreach effort to get your friends and neighbors to install solar on their homes?,"If solar was not a good fit for your home, the City of Somerville could potentially offer a “community solar project”, where people can opt in to purchase solar shares of a solar project located inside or near Somerville, in essence retaining the same ben",There are various ways in funding a community solar project. Would you be interested in purchasing shares of a community solar project where you could receive the same benefits of owning a system of your own?  Knowing you could receive the energy output f,Please indicate if you would like further information on the following in regards to solar panels (select any and all that you may have),Do you own an electric vehicle?,"If no, have you considered purchasing one?",Would your preference be to charge an electric vehicle in your driveway or charge it in a public lot?
01/12/2015 11:39:03 PM,2-5 years,Own,Condo,2,Yes,No,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,possible shade from a tree,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/24/2015 07:59:28 PM,10-15 years,Rent,,,Yes,No,Shut off lights when not in use,"Yes, very interested",,"Yes, once I buy a house (although the fast-rising prices are not making that look likely!)",,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/23/2015 03:18:04 PM,5-10 years,Own,Condo,3,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,need more info about both,Yes,Very interested,Yes,Interconnection & Net Metering,No,No,Driveway
01/15/2015 10:53:43 AM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,renter,,,,Very interested,Yes,,No,No,Driveway
01/11/2015 11:08:15 PM,10-15 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Very interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 11:30:22 AM,< 1 year,Rent,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",I rent and do not own the home,,No,Very interested,,,No,No,Driveway
01/23/2015 11:39:51 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Lease the system,No,Very interested,Yes,,Hybrid,Yes,Driveway
01/25/2015 10:31:34 AM,10-15 years,Own,Condo,,Yes,No,"Installed a high efficiency heating system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,condo,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning",Hybrid,Yes,Driveway
01/09/2015 10:35:12 AM,2-5 years,Own,Condo,3,Yes,No,"Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,"Not sure, depends on costs","Maybe, let's talk",Very interested,No,"Permitting, Financing Options",No,Yes,Driveway
01/23/2015 11:48:34 AM,1-2 years,Own,Condo,4,Yes,No,"Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,No,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/23/2015 11:56:13 AM,10-15 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","Renter, so not sure about making major changes like that",Lease the system,No,Very interested,No,"Permitting, Financing Options",No,Yes,Driveway
02/18/2015 03:12:33 PM,20+ years,Own,Multi-family (1-4 units),2,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, keep thermostat low","Yes, very interested",No,"Yes, but I don't think my roof is suitable",told not viable,Lease the system,No,Very interested,No,,No,Yes,Driveway
01/08/2015 04:45:15 PM,< 1 year,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"I only rent, but I would be interested if I owned",,Lease the system,Yes,Very interested,No,,No,Yes,Driveway
01/23/2015 08:40:26 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,No,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Purchase the system outright,,Very interested,No,Financing Options,No,Yes,Driveway
01/09/2015 10:48:20 AM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, isolate phantom loads and put them on a power strip (for toggling on and off when in use only)","Yes, very interested",,yes but I rent,access via ownership,don't have a prefernce. Whatever is most prudent.,"Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
02/08/2015 07:37:41 AM,2-5 years,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,don't know,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 07:45:21 PM,10-15 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",Yes,"Yes, but I don't think my roof is suitable",I was told our house doesn't get enough sunlight.,I would depend on what exactly the purchase vs. lease costs were.,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/08/2015 07:42:20 PM,5-10 years,Own,Single family,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/09/2015 08:41:56 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/11/2015 01:50:20 PM,2-5 years,Own,Condo,3,Yes,Yes,Had your home insulated,"Yes, very interested",Yes,"Yes, but I don't think it's cost effective",Cost,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
02/18/2015 04:10:02 PM,10-15 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,Financing Options,No,No,
01/10/2015 10:09:13 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,Lease the system,"Maybe, let's talk",Very interested,Yes,"Planning & Zoning, Financing Options",No,Yes,Driveway
02/05/2015 09:08:35 AM,10-15 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, Made and 1/2"" foam core shutters which fit tightlyl into the window frames, which we put in the windows at night during the winter months.","Yes, very interested",,Yes,Need to talk to my landlord.,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/17/2015 11:41:25 AM,2-5 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Not yet a homeowner,Lease the system,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/23/2015 11:40:48 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Old roof joists and rafters,Lease the system,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning",No,Yes,Driveway
01/20/2015 12:25:23 PM,2-5 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"No, I already have solar PV",,Lease the system,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
02/05/2015 01:37:03 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",,Lease the system,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/23/2015 02:38:19 PM,10-15 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Installed a high efficiency hot water system, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",Yes,Yes,Cost,not sure,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 08:42:16 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,Not sure,"Maybe, let's talk",Very interested,Yes,"Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
02/06/2015 11:14:06 AM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use, Installed Roof vents","Yes, very interested",,Yes,Cost,"Not sure, need to compare terms","Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 03:10:55 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",,open to either option,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/24/2015 07:27:21 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system","Yes, very interested",,Interested in Solar Thermal,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning",No,Yes,Driveway
01/09/2015 11:04:34 AM,5-10 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 11:44:02 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/24/2015 08:08:36 PM,15-20 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",roof exposure to sun,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/25/2015 12:32:54 AM,5-10 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Technology,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
02/18/2015 09:50:33 AM,2-5 years,Own,Condo,3,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, door weatherstripping","Yes, somewhat interested",,"Maybe, I need to learn more","unsure if suitable, would need agreement from other condo owners",Purchase the system outright,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/11/2015 03:28:03 PM,2-5 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",we didn't have enough surface on our roof that got sun all day; we're waiting on more efficient systems,Purchase the system outright,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/24/2015 06:58:46 PM,2-5 years,Rent,,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Would love to if I owned,Am a renter,,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:37:55 AM,5-10 years,Own,Multi-family (1-4 units),2,,,,"Yes, very interested",,Yes,Looked at leasing but they couldn't do condos ,,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
02/05/2015 01:36:41 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think my roof is suitable",Not enough sun,,"Maybe, let's talk",Very interested,Yes,,No,Yes,Driveway
01/09/2015 11:05:20 PM,1-2 years,Rent,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, unplugging, using special power strips, turning temperature down on the water heater","Yes, very interested",No,"yes, once i own my own home  ",renting still,don't know yet  ,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 09:14:37 PM,2-5 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats","Yes, very interested",,"Maybe, I need to learn more",Cost,Don't know yet! Need more details.,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/10/2015 09:06:08 AM,5-10 years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,don't know.,No,Very interested,Yes,"Permitting, Planning & Zoning, Financing Options",No,Yes,Driveway
01/13/2015 03:05:51 PM,< 1 year,Rent,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use, Unplug 'sleeping' appliances, bike most places, take public transportation, ","Yes, very interested",,,"Being a renter. We explored community solar, but then we are also not in a stage of our lives where we can put down a $10,000+ investment.... A smaller investment would get us thinking about it again...",Either,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/10/2015 09:06:59 AM,2-5 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, Placed plastic over old windows in the winter","Yes, very interested",,Yes,I do not own this house,,"Maybe, let's talk",Very interested,Yes,"Permitting, Interconnection & Net Metering",No,No,
01/25/2015 03:31:21 AM,5-10 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Cost,I do not know the financial numbers to decide,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 05:19:26 PM,< 1 year,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,I would like to but I rent,,I don't know,No,Very interested,Yes,,No,Yes,Driveway
01/09/2015 06:07:44 PM,15-20 years,Own,Condo,8,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"I don't know if it can be installed in our large condo building, but would be happy to have it installed",condo rules,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/10/2015 04:43:48 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 03:48:15 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/08/2015 02:32:58 PM,5-10 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats","Yes, somewhat interested",,"Maybe, I need to learn more","cost, but also potential resale value of the house",Lease the system,No,Very interested,Yes,"Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/09/2015 11:53:08 AM,2-5 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/09/2015 05:04:51 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Lease the system,No,Very interested,Yes,"Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/25/2015 02:30:44 PM,5-10 years,Own,Condo,,Yes,Yes,"Had your home insulated, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Lack of understanding,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 02:30:02 PM,5-10 years,Own,Single family,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I'm not sure the building's structure will allow it",Lack of understanding,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 01:44:28 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,yes but I rent ,no agency to install,Lease the system,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/26/2015 08:52:35 PM,2-5 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Not sure my house gets enough sun,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/26/2015 08:59:52 PM,15-20 years,Own,Single family,,Yes,Yes,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use, Keep the thermostat @ 60 unless we're home for several hours just sitting around (not often!)","Yes, very interested",,"Yes, but I don't think my roof is suitable",size of south-facing roof is probably too small.,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/27/2015 02:27:42 PM,10-15 years,Own,Condo,2,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",We tried- roof not suitable,Lease the system,No,Very interested,Yes,,No,Yes,Driveway
01/10/2015 09:11:04 PM,< 1 year,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,Yes,new to s' ville,need to evaluate options,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:57:14 AM,5-10 years,Own,Condo,3,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Cost,Not sure,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/25/2015 07:53:49 AM,< 1 year,Own,Multi-family (1-4 units),,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,home owner association,not sure,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/11/2015 10:01:23 AM,5-10 years,Rent,,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Not the owner of the house,,"Maybe, let's talk",Very interested,Yes,,No,No,Public Lot
01/23/2015 04:46:35 PM,,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Not sure,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 04:47:34 PM,20+ years,Own,Single family,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Lack of understanding,not sure,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 04:34:03 PM,20+ years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use",Not interested at all,,No,"appearance, incompatible with historic district",Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/11/2015 09:52:37 AM,5-10 years,Own,Single family,3,Yes,No,new house with all above,"Yes, very interested",,"Yes, but I don't think my roof is suitable",company I reached out was not ineterested in condos,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 06:12:27 PM,5-10 years,Own,Condo,2,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,Yes,Cost,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
02/05/2015 08:31:13 PM,10-15 years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/23/2015 03:59:57 PM,2-5 years,Rent,Multi-family (1-4 units),,Yes,No,"Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,dont own the home,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/25/2015 08:49:26 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting","Yes, very interested",,"Yes, but I don't think my roof is suitable",Don't think the roof is suitable,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 07:52:32 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Fear of damaging my roof,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/24/2015 03:03:56 PM,5-10 years,Own,Condo,3,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Figuring it out with the other condo owners,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 11:59:12 PM,10-15 years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Haven't gotten around to it,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning",No,Yes,Driveway
01/08/2015 11:17:09 AM,2-5 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Huge tree shading our roof,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/24/2015 07:41:57 PM,2-5 years,Own,Condo,,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,Yes,Lack of understanding,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
01/10/2015 08:36:24 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,Yes,Lack of understanding,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/10/2015 08:23:32 AM,2-5 years,Own,Condo,7,Yes,No,,"Yes, very interested",No,Yes,My townhouse complex needs to get on the MA energy audit list,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/23/2015 04:48:43 PM,20+ years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",need to replace roof,Purchase the system outright,No,Very interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/26/2015 08:15:29 PM,5-10 years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Not sure if we get enough light,Purchase the system outright,No,Very interested,Yes,,No,Yes,Driveway
